"","cname","code","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem","vdem.mean","p_polity2","fhi","fhi_polity2","grn.seat","r.rate","taxgap.shadow","qog","mean.schl","lit.rate","ldi","hfi","eps_mean","gdp.pc","reg.mean"
"32","Cape Verde","CPV",0.844,0.765,0.535,0.729,0.688,0.7122,1,0,1,NA,NA,NA,NA,5.9,88.465424,"0.762",0.813953488372093,NA,"3972.6101",403.54244
"33","Central African Republic","CAF",0.288,0.164,0.117,0.144,0.157,0.174,0.5,1,0.25,NA,NA,NA,NA,4.2,36.752609,"0.165",0.248062015503876,NA,"690.03998",403.3848
"34","Chad","TCD",0.279,0.096,0.143,0.153,0.123,0.1588,0.4,1,0.24166667,NA,NA,NA,NA,2.3,40.018242,"0.106",0.323643410852713,NA,"1651.05",403.360093334
"35","Chile","CHL",0.89,0.839,0.594,0.813,0.643,0.7558,1,0,1,NA,NA,9.09,0.75,10.3,96.627548,"0.807",0.844961240310078,NA,"15519.08",403.55116
"36","China","CHN",0.084,0.057,0.04,0.146,0.094,0.0842,0.15,1,0.11666666,NA,NA,NA,0.47222221,7.7,96.599171,"0.045",0.428294573643411,2.5,"9283.3799",403.270173332
"37","Colombia","COL",0.711,0.573,0.451,0.595,0.413,0.5486,0.85,0.5,0.7166667,NA,NA,8.02,0.41666666,8.1,94.8347835,"0.5",0.598837209302326,NA,"8761.1396",403.52305334
"38","Comoros","COM",0.503,0.313,0.321,0.404,0.355,0.3792,0.95,0.5,0.7666667,NA,NA,NA,NA,4.8,68.477205,"0.327",NA,NA,"972.35999",403.51917334
"39","Costa Rica","CRI",0.893,0.843,0.673,0.834,0.8,0.8086,1,0,1,NA,NA,NA,0.5,8.8,97.7555185,"0.818",0.829457364341085,NA,"9485.71",403.56172
"40","Croatia","HRV",0.827,0.686,0.618,0.659,0.65,0.688,0.95,0,0.9333334,0,NA,3.56,0.66666669,11.2,99.272591,"0.711",0.819767441860465,NA,"18020.41",403.51426668
"41","Cuba","CUB",0.182,0.082,0.121,0.082,0.241,0.1416,0.15,1,0.11666666,NA,NA,NA,0.47222221,11.4,99.710716,"0.078",NA,NA,"5899.9399",403.281653332
"42","Cyprus","CYP",0.858,0.733,0.584,0.77,0.745,0.738,1,0,1,1.8,NA,NA,0.83333331,11.9,99.059776,"0.759",0.897286821705427,NA,"27207.07",403.5476
"43","Czech Republic","CZE",0.843,0.749,0.574,0.702,0.784,0.7304,0.95,0,0.975,0,NA,2.64,0.69444442,12.7,99,"0.753",0.916666666666667,NA,"23847.08",403.53108
"44","Democratic Republic of the Congo","COD",0.347,0.135,0.204,0.121,0.174,0.1962,0.75,1,0.45833335,NA,NA,NA,0.1388889,6.4,77.221672,"0.141",0.300387596899225,NA,"324.16",403.48090667
"45","Denmark","DNK",0.902,0.868,0.69,0.866,0.851,0.8354,1,0,1,5.0999999,46.3,0.56,0.97222221,12.5,99,"0.872",0.967054263565892,NA,"37406.762",403.56708
"46","Djibouti","DJI",0.266,0.114,0.167,0.165,0.166,0.1756,0.65,1,0.45,NA,NA,NA,NA,4.1,NA,"0.126",NA,NA,"2685.5",403.45512
"47","Dominica","DMA",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,7.9,93.86869,"0.95",NA,NA,"12613.72",NA
"48","Dominican Republic","DOM",0.555,0.268,0.318,0.453,0.28,0.3748,0.9,0.5,0.7833333,NA,NA,NA,0.32407409,7.8,92.465424,"0.32",0.689922480620155,NA,"10376.63",403.51162666
"49","Ecuador","ECU",0.563,0.292,0.401,0.388,0.425,0.4138,0.75,0.5,0.7083333,NA,NA,NA,0.41666666,8.4,94.515472,"0.31",0.647286821705426,NA,"7259.52",403.47442666
"50","Egypt","EGY",0.198,0.095,0.092,0.108,0.096,0.1178,0.3,1,0.275,NA,NA,NA,0.44444445,7.1,75.842621,"0.09",0.141472868217054,NA,"5598.2598",403.33856
"51","El Salvador","SLV",0.668,0.463,0.403,0.497,0.316,0.4694,0.9,0,0.825,NA,NA,-0.82,0.3888889,6.6,88.328408,"0.441",0.680232558139535,NA,"332.26999",403.43888
"52","Equatorial Guinea","GNQ",0.183,0.051,0.057,0.056,0.113,0.092,0.2,1,0.1,NA,NA,NA,NA,5.5,95.195663,"0.048",NA,NA,"15412.43",403.2784
"53","Eritrea","ERI",0.07,0.008,0.009,0.027,0.129,0.0486,0.15,1,0.075,NA,NA,NA,NA,3.9,75.2078865,"0.011",NA,NA,"1007.28",403.25472
